# database of criticl conditions
# omega: acentric factor
# mu: dipole moment
# lambda: 
# the atomic values are filled according to http://oatao.univ-toulouse.fr/5014/1/Ruiz_5014.pdf
# sp isCritGas pCrit[Pa] TCrit[K] rhoCrit[kg/m3] omega Gas phase (mu) dipole at NBP [debye]  MW
H2      1   1.2964e+6    33.1450    31.262         -0.21900  0.0       2.02
H       1   31.013e+6    190.82      59.2           0.0      0.0       1.01
O       1   7.0882e+6    154.581     388.3          0.0      0.0      16.00
O2      1   5.0430e+6   154.5800   436.140          0.02220  0.0      32.00
OH      1   7.0883e+6    105.28      412.8          0.0      0.0      17.01
H2O     1 22.06400e+6   647.1000   322.000          0.34430  1.855    18.02
HO2     1   4.7861e+6    141.34    402.92           0.0      0.0      33.01
H2O2    1   4.7861e+6    141.34    415.13           0.0      0.0      34.01
C       0   0.0           0.0        0.0            0.0      0.0      12.01
CH      0   0.0           0.0        0.0            0.0      0.0      13.02
CH2     0   0.0           0.0        0.0            0.0      0.0      14.02
CH2(S)  0   0.0           0.0        0.0            0.0      0.0      14.02
CH3     0   0.0           0.0        0.0            0.0      0.0      15.03
CH4     1   4.5992e+6   190.5600   162.660          0.01142  0.0      16.04
CO      1   3.4940e+6   132.8600   303.910          0.04970  0.1      28.01
CO2     1   7.3773e+6   304.1300   467.600          0.22394  0.0      44.01
HCO     0   0.0           0.0        0.0            0.0      0.0      29.02
CH2O    0   0.0           0.0        0.0            0.0      0.0      30.03
CH2OH   0   0.0           0.0        0.0            0.0      0.0      31.04
CH3O    0   0.0           0.0        0.0            0.0      0.0      31.04
CH3OH   1   8.1035e+6   512.6000   275.560          0.56250  1.7      32.05
C2H     0   0.0           0.0        0.0            0.0      0.0      25.03
C2H2    0   0.0           0.0        0.0            0.0      0.0      26.04
C2H3    0   0.0           0.0        0.0            0.0      0.0      27.04
C2H4    1   5.0418e+6   282.3500   214.250          0.08660  0.0      28.05
C2H5    0   0.0           0.0        0.0            0.0      0.0      29.06
C2H6    1   4.8722e+6   305.3200   206.180          0.09950  0.0      30.07
HCCO    0   0.0           0.0        0.0            0.0      0.0      41.03
CH2CO   0   0.0           0.0        0.0            0.0      0.0       0.0
HCCOH   0   0.0           0.0        0.0            0.0      0.0       0.0
N       0   0.0           0.0        0.0            0.0      0.0      28.01
NH      0   0.0           0.0        0.0            0.0      0.0      29.02
NH2     0   0.0           0.0        0.0            0.0      0.0      30.03
NH3     1  11.3330e+6   405.4000   225.0            0.25601  1.470     31.04
NNH     0   0.0           0.0        0.0            0.0      0.0       0.0
NO      0   0.0           0.0        0.0            0.0      0.0       30.01
NO2     0   0.0           0.0        0.0            0.0      0.0       46.01
N2O     1   7.2450e+6   309.5200   452.010          0.16130  0.1608    44.01
C12H26  1  18.34e+5     658.2      226.54           0.5741   0.0     170.3348
R134a   1  4.0603e6     374.3      515.3            0.327    2.06      102.03
HNO     0   0.0           0.0        0.0            0.0      0.0
CN      0   0.0           0.0        0.0            0.0      0.0
HCN     0   0.0           0.0        0.0            0.0      0.0
H2CN    0   0.0           0.0        0.0            0.0      0.0
HCNN    0   0.0           0.0        0.0            0.0      0.0
HCNO    0   0.0           0.0        0.0            0.0      0.0
HOCN    0   0.0           0.0        0.0            0.0      0.0
HNCO    0   0.0           0.0        0.0            0.0      0.0
NCO     0   0.0           0.0        0.0            0.0      0.0
N2      1   3.3958e+6   126.1900   313.300          0.03720  0.0
Ar      1   4.8630e+6   150.6900   535.600         -0.00219  0.0
C3H7    0   0.0           0.0        0.0            0.0      0.0
C3H8    1   4.2512e+6   369.8900   220.480          0.15210  0.084
CH2CHO  0   0.0           0.0        0.0            0.0      0.0
CH3CHO  0   0.0           0.0        0.0            0.0      0.0
He      1   0.2276e+6     5.1953    72.567         -0.38500  0.0
